"SITECODE","BIOGEFRAPHICREG","PERCENTAGE"
"PTCON0001","Atlantic",0
"PTCON0001","Mediterranean",0
"PTCON0002","Mediterranean",100
"PTCON0003","Mediterranean",100
"PTCON0004","Mediterranean",100
"PTCON0005","Mediterranean",100
"PTCON0006","Mediterranean",100
"PTCON0007","Mediterranean",100
"PTCON0008","Mediterranean",49.47
"PTCON0008","Marine Atlantic",50.53
"PTCON0009","Mediterranean",100
"PTCON0010","Mediterranean",73.32
"PTCON0010","Marine Atlantic",26.68
"PTCON0011","Mediterranean",100
"PTCON0012","Marine Atlantic",15.25
"PTCON0012","Mediterranean",84.75
"PTCON0013","Mediterranean",100
"PTCON0014","Mediterranean",100
"PTCON0015","Mediterranean",100
"PTCON0016","Mediterranean",100
"PTCON0017","Marine Atlantic",33.22
"PTCON0017","Atlantic",66.78
"PTCON0018","Mediterranean",100
"PTCON0019","Atlantic",100
"PTCON0020","Atlantic",100
"PTCON0021","Mediterranean",100
"PTCON0022","Mediterranean",100
"PTCON0023","Mediterranean",100
"PTCON0024","Atlantic",100
"PTCON0025","Mediterranean",100
"PTCON0026","Mediterranean",100
"PTCON0027","Mediterranean",100
"PTCON0028","Mediterranean",100
"PTCON0029","Mediterranean",100
"PTCON0030","Mediterranean",100
"PTCON0031","Mediterranean",100
"PTCON0032","Mediterranean",100
"PTCON0033","Mediterranean",100
"PTCON0034","Mediterranean",100
"PTCON0035","Mediterranean",100
"PTCON0036","Mediterranean",100
"PTCON0037","Mediterranean",100
"PTCON0038","Mediterranean",100
"PTCON0039","Atlantic",100
"PTCON0040","Atlantic",100
"PTCON0041","Mediterranean",100
"PTCON0042","Mediterranean",100
"PTCON0043","Mediterranean",100
"PTCON0044","Mediterranean",100
"PTCON0045","Mediterranean",100
"PTCON0046","Mediterranean",100
"PTCON0047","Mediterranean",100
"PTCON0048","Mediterranean",100
"PTCON0049","Mediterranean",100
"PTCON0050","Mediterranean",100
"PTCON0051","Mediterranean",100
"PTCON0052","Mediterranean",100
"PTCON0053","Mediterranean",100
"PTCON0054","Mediterranean",100
"PTCON0055","Mediterranean",100
"PTCON0056","Mediterranean",33.93
"PTCON0056","Marine Atlantic",66.07
"PTCON0057","Mediterranean",100
"PTCON0058","Mediterranean",100
"PTCON0059","Mediterranean",100
"PTCON0060","Mediterranean",100
"PTCON0061","Mediterranean",93.02
"PTCON0061","Marine Atlantic",6.98
"PTCON0062","Marine Atlantic",100
"PTCOR0001","Macaronesian",77
"PTCOR0001","Marine Macaronesian",23
"PTDES0001","Macaronesian",2.19
"PTDES0001","Marine Macaronesian",87.81
"PTFAI0004","Marine Macaronesian",11
"PTFAI0004","Macaronesian",89
"PTFAI0005","Marine Macaronesian",74
"PTFAI0005","Macaronesian",26
"PTFAI0006","Macaronesian",100
"PTFAI0007","Marine Macaronesian",81
"PTFAI0007","Macaronesian",19
"PTFLO0002","Macaronesian",100
"PTFLO0003","Marine Macaronesian",83
"PTFLO0003","Macaronesian",17
"PTGRA0015","Macaronesian",13
"PTGRA0015","Marine Macaronesian",87
"PTGRA0016","Macaronesian",100
"PTJOR0013","Marine Macaronesian",46
"PTJOR0013","Macaronesian",54
"PTJOR0014","Marine Macaronesian",10
"PTJOR0014","Macaronesian",90
"PTMAD0001","Macaronesian",100
"PTMAD0002","Macaronesian",100
"PTMAD0003","Macaronesian",8.04
"PTMAD0003","Marine Macaronesian",81.96
"PTMAD0004","Marine Macaronesian",99.9
"PTMAD0004","Macaronesian",0.1
"PTMAD0005","Macaronesian",100
