"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0100001","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100002","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100003","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100005","","","Uudenmaan ympäristökeskus PL 36Metsähallitus / Etelärannikon puistoaluePL 9401301 Vantaa00521 Helsinki","","","","","","",""
"FI0100006","","","Uudenmaan ympäristökeskus PL 36Metsähallitus, Etelärannikon puistoaluePL 9401301 Vantaa00521 Helsinki","","","","","","",""
"FI0100007","","","Metsähallitus/Etelärannikon puistoalue PL 9401301 Vantaa","","","","","","",""
"FI0100008","","","Helsingin kaupunki KiinteistövirastoMetsä- ja maatalousosastoHelsinginkatu 2400530 HelsinkiUudenmaan ympäristökeskusPL 3600521 Helsinki","","","","","","",""
"FI0100009","","","Metsähallitus/Etelärannikon puistoalue PL 9401301 VantaaUudenmaan ympäristökeskusPL 3600521 Helsinki","","","","","","",""
"FI0100010","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100011","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100012","","","Uudenmaan ympäristökeskus PL 3600521 HelsinkiMetsäntutkimuslaitos/tutkimusmetsäpalvelutMarja-Leena HeinilehtoPL 1801301 Vantaa","","","","","","",""
"FI0100013","","","Uudenmaan ympäristökeskus Pl 3600521 Helsinki","","","","","","",""
"FI0100014","","","Uudenmaan ympäristökeskus PL 36 00521 Helsinki","","","","","","",""
"FI0100015","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100016","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100017","","","Uudenmaan ympäristökeskus Pl 3600521 Helsinki","","","","","","",""
"FI0100018","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100021","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100022","","","Uudenmaan ympäristökeskus PL 3600521 HelsinkiMetsähallitus, Etelä-Suomen luontopalvelutPL 9401301 Vantaa","","","","","","",""
"FI0100023","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100024","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100025","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100026","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100027","","","Metsähallitus/Etelärannikon puistoalue PL 9401301 VantaaUudenmaan ympäristökeskusPL 3600521 Helsinki","","","","","","",""
