"SITECODE","DESIGNATIONCODE","DESIGNATEDSITENAME","OVERLAPCODE","OVERLAPPERC"
"AT1106218","AT03","","",100
"AT1110137","AT04","","",73
"AT1114813","AT03","","",1
"AT1114813","AT04","","",99
"AT1125129","AT00","","",98
"AT1125129","AT03","","",2
"AT1125129","AT03","Haidel b. Nickelsdorf","+",0.16
"AT1125129","AT03","Zurndorfer Eichenwald","+",2.1
"AT1201000","AT02","","",1
"AT1201000","AT04","Kamptal","+",
"AT1201000","AT10","Kleiner Kamp","+",
"AT1201A00","AT04","","",4
"AT1201A00","AT04","Wachau und Umgebung","+",
"AT1201A00","AT10","Großer Kamp","+",
"AT1202000","","Donau-March-Auen","-",100
"AT1202000","","WWF nature reserve ""Marchauen-Marchegg""","+",9
"AT1202000","AT03","Salzsteppe Baumgarten an der March","+",
"AT1202000","AT04","Donau-March-Thaya-Auen","+",71
"AT1202000","AT10","","",1
"AT1202000","AT10","Salzsteppengebiet","+",
"AT1202V00","","Donau-March-Auen","+",95
"AT1202V00","AT04","Donau-March-Thaya-Auen","+",46
"AT1203000","","Rothwald I","+",
"AT1203000","","Rothwald II","+",
"AT1203000","AT02","","",9
"AT1203000","AT03","","",4
"AT1203000","AT03","Leckermoos","+",
"AT1203000","AT03","Stockgrund - Kothbergtal","+",
"AT1203000","AT10","Lunzer See","+",
"AT1203A00","AT02","","",12
"AT1203A00","AT03","Rothwald I","+",
"AT1203A00","AT03","Rothwald II","+",1
"AT1203A00","AT03","Rothwald III","+",1
"AT1204000","","WWF-Reserve ""Regelsbrunn""","+",4
"AT1204000","AT03","","",6
"AT1204000","AT03","Braunsberg - Hundsheimer Berg","+",
"AT1204000","AT03","Lobau-Schüttelau-Schönauer Haufen","+",5
"AT1204V00","AT03","","",6
"AT1205000","AT03","Steinige Riess (in prep.)","+",
"AT1205000","AT04","","",98
"AT1205000","AT10","Höhereck/Franzosendenkmal","+",
"AT1205A00","AT02","","",28
"AT1205A00","AT04","","",100
"AT1205A00","AT04","Wachau und Umgebung","-",92
"AT1206A00","AT04","","",60
"AT1206A00","AT04","Leiser Berge","+",47
"AT1206A00","AT04","Steinbergwald","+",7
"AT1207000","AT02","","",3
"AT1207000","AT02","Kamptal - Schönberg","+",3
"AT1207000","AT04","","",74
"AT1207000","AT04","Kamptal","+",74
"AT1207000","AT10","Heidnische Opferstätte","+",
"AT1207A00","AT02","Kamptal - Schönberg","+",6
"AT1208A00","","Nature Reserve Thayatal","+",14
"AT1209000","AT03","","",
"AT1209000","AT04","Oberes Pulkautal","+",4
"AT1209000","AT04","Retzer Hügelland","+",2
"AT1209000","AT10","Sandschwertlilie","+",
"AT1209000","AT10","Zanitzer Stein","+",
"AT1209A00","AT04","Oberes Pulkautal","+",22
"AT1210000","AT10","Sollenauer Feuchtwiesen","+",
"AT1210A00","AT03","","",2
"AT1210A00","AT03","Schönauer Teich","+",1
"AT1211000","AT03","Eichkogel","+",
"AT1211000","AT10","Iriswiese am Pfaffstätter Kogel (in prep.)","+",
"AT1211000","AT10","Merkensteinhöhle","+",
"AT1211000","AT10","Perchtholdsdorfer Heide","+",
"AT1212000","AT02","","",9
"AT1212000","AT04","Hohe Wand - Dürre Wand","+",34
"AT1212A00","AT02","Hohe Wand","+",4
"AT1213000","","Naturschutzgebiet Sandberge Oberweiden","+",4
"AT1213000","AT03","","",14
"AT1213000","AT03","Weikendorfer Remise","+",8
"AT1213V00","","Sandberge Oberweiden","+",
"AT1213V00","AT03","","",2
"AT1213V00","AT03","Weikendorfer Remise","+",1
"AT1213V00","AT10","Halbtrockenrasen- und Trockenhänge","+",
"AT1213V00","AT10","Schmetterlingswiese","+",
"AT1214000","","Braunsberg-Hundsheimer Berg","+",8
"AT1214000","AT34","","",15
"AT1216V00","AT34","","",
"AT1217A00","AT04","","",73
"AT1217A00","AT04","Strudengau und Umgebung","+",73
"AT1102112","AT03","","",100
"AT1104212","AT17","","",3
"AT1110137","","Nationalpark Neusiedler See - Seewinkel","+",16
"AT1110137","AT02","","",18
"AT1119622","AT03","","",100
"AT1122916","","Ramsargebiet Lafnitztal","*",40
"AT1122916","AT00","","",35
"AT1122916","AT17","","",50
"AT1201000","AT02","Nordwald","+",1
"AT1201000","AT03","Karlstifter Moore","+",
"AT1201000","AT04","","",5
"AT1201000","AT10","","",1
"AT1201000","AT10","Oberes Kamptal","+",
"AT1201000","AT38","","",40
"AT1201A00","AT02","","",1
"AT1201A00","AT02","Blockheide Eibenstein","+",1
"AT1201A00","AT03","Karlstifter Moore","+",
"AT1201A00","AT04","Dobersberg","+",1
"AT1201A00","AT10","","",1
"AT1201A00","AT38","","",40
"AT1202000","AT03","Rabensburger Thaya-Auen","+",4
"AT1202000","AT03","Untere Marchauen","+",13
"AT1202000","AT10","Blumengang-Sutte","+",
"AT1202000","AT10","Kirchfeld","+",
"AT1202000","AT10","Tümpelwiese","+",
"AT1202V00","AT03","","",12
"AT1202V00","AT03","Untere Marchauen","+",8
"AT1202V00","AT10","Alkalisteppe Baumgarten","+",
"AT1202V00","AT10","Blumengang-Sutte","+",
"AT1202V00","AT10","Kirchfeld","+",
"AT1202V00","AT10","Marienbründl","+",
"AT1203000","AT02","Ötscher - Tormäuer","+",9
"AT1203000","AT03","Rothwald I","+",
