"DIRECTIVE","SPECIESNAME","ANNEXII","ANNEXII1","ANNEXII2","ANNEXIII1","ANNEXIII2","ANNEXIV","ANNEXV","SPBCAX1"
"Birds Directive","Accipiter brevipes","Y","N","N","N","N","","",""
"Birds Directive","Accipiter gentilis","N","N","N","N","N","","",""
"Birds Directive","Accipiter gentilis arrigonii","Y","N","N","N","N","","",""
"Birds Directive","Accipiter gentilis strigonii","N","N","N","N","N","","",""
"Birds Directive","Accipiter nisus","N","N","N","N","N","","",""
"Birds Directive","Accipiter nisus granti","Y","N","N","N","N","","",""
"Birds Directive","Acrocephalus arundinaceus","N","N","N","N","N","","",""
"Birds Directive","Acrocephalus melanopogon","Y","N","N","N","N","","",""
"Birds Directive","Acrocephalus paludicola","Y","N","N","N","N","","",""
"Birds Directive","Acrocephalus palustris","N","N","N","N","N","","",""
"Birds Directive","Acrocephalus schoenobaenus","N","N","N","N","N","","",""
"Birds Directive","Acrocephalus scirpaceus","N","N","N","N","N","","",""
"Birds Directive","Actitis hypoleucos","N","N","N","N","N","","",""
"Birds Directive","Aegithalos caudatus","N","N","N","N","N","","",""
"Birds Directive","Aegolius funereus","Y","N","N","N","N","","",""
"Birds Directive","Aegypius monachus","Y","N","N","N","N","","",""
"Birds Directive","Aix galericulata","N","N","N","N","N","","",""
"Birds Directive","Alauda arvensis","N","N","Y","N","N","","",""
"Birds Directive","Alca torda","N","N","N","N","N","","",""
"Birds Directive","Alcedo atthis","Y","N","N","N","N","","",""
"Birds Directive","Alectoris barbara","Y","N","Y","Y","N","","",""
"Birds Directive","Alectoris chukar","N","N","Y","N","N","","",""
"Birds Directive","Alectoris graeca","N","Y","N","N","N","","",""
"Birds Directive","Alectoris graeca graeca","Y","N","N","N","N","","",""
"Birds Directive","Alectoris graeca saxatilis","Y","N","N","N","N","","",""
"Birds Directive","Alectoris graeca whitakeri","Y","N","N","N","N","","",""
"Birds Directive","Alectoris rufa","N","Y","N","Y","N","","",""
"Birds Directive","Alle alle","N","N","N","N","N","","",""
"Birds Directive","Alopochen aegyptiacus","N","N","N","N","N","","",""
"Birds Directive","Anas acuta","N","Y","N","N","Y","","",""
"Birds Directive","Anas clypeata","N","Y","N","N","Y","","",""
"Birds Directive","Anas crecca","N","Y","N","N","Y","","",""
"Birds Directive","Anas discors","N","N","N","N","N","","",""
"Birds Directive","Anas penelope","N","Y","N","N","Y","","",""
"Birds Directive","Anas platyrhynchos","N","Y","N","Y","N","","",""
"Birds Directive","Anas querquedula","N","Y","N","N","N","","",""
"Birds Directive","Anas strepera","N","Y","N","N","N","","",""
"Birds Directive","Anser albifrons","N","N","Y","N","N","","",""
"Birds Directive","Anser albifrons albifrons","N","N","N","N","Y","","",""
"Birds Directive","Anser albifrons flavirostris","Y","N","N","N","N","","",""
"Birds Directive","Anser anser","N","Y","N","N","Y","","",""
"Birds Directive","Anser brachyrhynchus","N","N","Y","N","N","","",""
"Birds Directive","Anser caerulescens","N","N","N","N","N","","",""
"Birds Directive","Anser erythropus","Y","N","N","N","N","","",""
"Birds Directive","Anser fabalis","N","Y","N","N","N","","",""
"Birds Directive","Anthropoides virgo","N","N","N","N","N","","",""
"Birds Directive","Anthus berthelotti","N","N","N","N","N","","",""
"Birds Directive","Anthus campestris","Y","N","N","N","N","","",""
"Birds Directive","Anthus cervinus","N","N","N","N","N","","",""
"Birds Directive","Anthus novaeseelandiae","N","N","N","N","N","","",""
"Birds Directive","Anthus pratensis","N","N","N","N","N","","",""
"Birds Directive","Anthus richardi","N","N","N","N","N","","",""
"Birds Directive","Anthus spinoletta","N","N","N","N","N","","",""
"Birds Directive","Anthus trivialis","N","N","N","N","N","","",""
"Birds Directive","Apus apus","N","N","N","N","N","","",""
"Birds Directive","Apus caffer","Y","N","N","N","N","","",""
"Birds Directive","Apus melba","N","N","N","N","N","","",""
"Birds Directive","Apus pallidus","N","N","N","N","N","","",""
"Birds Directive","Apus unicolor","N","N","N","N","N","","",""
"Birds Directive","Aquila chrysaetos","Y","N","N","N","N","","",""
"Birds Directive","Aquila clanga","Y","N","N","N","N","","",""
"Birds Directive","Aquila heliaca","Y","N","N","N","N","","",""
"Birds Directive","Aquila heliaca adalberti","Y","N","N","N","N","","",""
"Birds Directive","Aquila nipalensis","N","N","N","N","N","","",""
"Birds Directive","Aquila pomarina","Y","N","N","N","N","","",""
"Birds Directive","Aquila rapax","N","N","N","N","N","","",""
"Birds Directive","Ardea cinerea","N","N","N","N","N","","",""
"Birds Directive","Ardea purpurea","Y","N","N","N","N","","",""
"Birds Directive","Ardeola ralloides","Y","N","N","N","N","","",""
"Birds Directive","Arenaria interpres","N","N","N","N","N","","",""
"Birds Directive","Asio flammeus","Y","N","N","N","N","","",""
"Birds Directive","Asio otus","N","N","N","N","N","","",""
"Birds Directive","Athene noctua","N","N","N","N","N","","",""
"Birds Directive","Aythya ferina","N","Y","N","N","Y","","",""
"Birds Directive","Aythya fuligula","N","Y","N","N","Y","","",""
"Birds Directive","Aythya marila","N","N","Y","N","Y","","",""
"Birds Directive","Aythya nyroca","Y","N","N","N","N","","",""
"Birds Directive","Bombycilla garrulus","N","N","N","N","N","","",""
"Birds Directive","Bonasa bonasia","Y","N","Y","N","N","","",""
"Birds Directive","Botaurus lentiginosus","N","N","N","N","N","","",""
"Birds Directive","Botaurus stellaris","Y","N","N","N","N","","",""
"Birds Directive","Branta bernicla","N","N","Y","N","N","","",""
"Birds Directive","Branta canadensis","N","Y","N","N","N","","",""
"Birds Directive","Branta leucopsis","Y","N","N","N","N","","",""
"Birds Directive","Branta ruficollis","Y","N","N","N","N","","",""
"Birds Directive","Bubo bubo","Y","N","N","N","N","","",""
"Birds Directive","Bubulcus ibis","N","N","N","N","N","","",""
"Birds Directive","Bucanetes githagineus","Y","N","N","N","N","","",""
"Birds Directive","Bucephala clangula","N","N","Y","N","N","","",""
"Birds Directive","Bucephala islandica","N","N","N","N","N","","",""
"Birds Directive","Bulweria bulwerii","Y","N","N","N","N","","",""
"Birds Directive","Burhinus oedicnemus","Y","N","N","N","N","","",""
"Birds Directive","Buteo buteo","N","N","N","N","N","","",""
"Birds Directive","Buteo lagopus","N","N","N","N","N","","",""
"Birds Directive","Buteo rufinus","Y","N","N","N","N","","",""
"Birds Directive","Butorides virescens","N","N","N","N","N","","",""
"Birds Directive","Calandrella brachydactyla","Y","N","N","N","N","","",""
"Birds Directive","Calandrella rufescens","N","N","N","N","N","","",""
"Birds Directive","Calcarius lapponicus","N","N","N","N","N","","",""
"Birds Directive","Calidris alba","N","N","N","N","N","","",""
"Birds Directive","Calidris alpina","N","N","N","N","N","","",""
"Birds Directive","Calidris alpina schinzii","Y","N","N","N","N","","",""
"Birds Directive","Calidris canutus","N","N","Y","N","N","","",""
"Birds Directive","Calidris ferruginea","N","N","N","N","N","","",""
"Birds Directive","Calidris fuscicollis","N","N","N","N","N","","",""
"Birds Directive","Calidris maritima","N","N","N","N","N","","",""
"Birds Directive","Calidris mauri","N","N","N","N","N","","",""
"Birds Directive","Calidris minuta","N","N","N","N","N","","",""
