"X2010.Nrow"	"X2011.Nrow"	"X2012.Nrow"	"X2013.Nrow"	"X2014.Nrow"	"X2015.Nrow"	"X2016.Nrow"	"X2010.Ncol"	"X2011.Ncol"	"X2012.Ncol"	"X2013.Ncol"	"X2014.Ncol"	"X2015.Ncol"	"X2016.Ncol"
"BIOREGION"	26303	NA	NA	NA	NA	27733	28581	3	NA	NA	NA	NA	3	3
"CONTACTS"	10996	12473	26472	2629	2614	2283	2279	3	2	11	11	11	11	11
"DESCRIBESSITES"	130171	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
"DESIGNATIONSTATUS"	74027	76187	72852	72871	70050	76737	79659	6	5	5	5	5	5	5
"DIRECTIVESSPECIES"	2315	2315	NA	NA	NA	NA	NA	11	10	NA	NA	NA	NA	NA
"GENERALHABITATCLASS"	27	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA
"HABITATS"	125475	128673	135408	139784	140323	143145	146369	10	9	14	14	14	14	14
"IMPACT"	147879	NA	NA	130893	132567	182419	193941	7	NA	NA	7	7	7	7
"METADATA"	4	NA	NA	NA	NA	4	4	3	NA	NA	NA	NA	2	2
"NATURA2000SITES"	25903	26424	NA	27498	27413	27312	27527	18	17	NA	22	22	22	22
"OTHERSPECIES"	286797	290061	304926	311967	313760	318766	314005	6	5	12	12	12	12	12
"SPECIES"	NA	NA	NA	NA	NA	402659	406084	NA	NA	NA	NA	NA	18	18
